Heure de fin,Fidélité,Note résumé,Note entité,Urgence correcte,Catégorie correcte,Entités supplémentaires,Resume,Categorie,Categorie corrigée,Operateur
03/04/2025 16:10:21,4.0,4.0,3.0,oui,oui,[''],"L'utilisateur appelle pour signaler une urgence médicale. Il souffre de maux de tête intenses, de troubles visuels et d'une difficulté à se concentrer. Il a déjà contacté le 15 mais semble hésiter sur la meilleure action à entreprendre. <Terre>",Noeuds IA : Non urgent<br>,,
03/04/2025 16:36:59,4.0,4.0,2.0,oui,oui,[''],Un appel d'urgence est passé pour une femme enceinte de quatre mois qui ressent des douleurs au bas ventre. Elle n'a ni contractions ni pertes de liquide amniotique. Les pompiers sont envoyés à l'adresse 36 en passe Gaston la verrière pour évaluer la situation.  <br><br><br>Let me know if you need any further assistance!<br>,"URGENT<br>Noeuds IA : CLASSIFICATION, SAP (1), urgence vitale (1.1)<br>",,
03/04/2025 16:55:11,2.0,3.0,3.0,oui,oui,[''],"This text is an emergency call transcript. It describes a situation John Doe (likely a family member) is calling for help because their uncle, John Doe, is approximately 70 years old and unable to move or open his door. The caller has trouble communicating due to poor network connection.  <br><br>Please translate the following into French:<br><br><br>""This text is an emergency call transcript. It describes a situation John Doe (likely a family member) is calling for help because their uncle, John Doe, is approximately 70 years old and unable to move or open his door. The caller has trouble communicating due to poor network connection.""  <Terre>","URGENT<br>Noeuds IA : CLASSIFICATION, SAP (1), urgence vitale (1.1)<br>",,
03/04/2025 17:22:20,4.0,3.0,3.0,oui,oui,[''],"The text describes an emergency call where a person appears to have been hit by a truck. Here's a summary:<br><br>* <span Terre, estimated to be around 62 years old, was struck by a truck (possibly a refrigerated truck).<br>* <span class=""bold"">Location:</span> The incident occurred at the Honda Perona dealership.<br>* <span class=""bold"">Injuries:</span> The man is conscious but breathing heavily and possibly injured. He has an apparent Terre>* <span class=""bold"">First Aid:</span> A caller is guiding someone on the scene through CPR, emphasizing the importance of checking for a pulse and continuing chest compressions until emergency services arrive. <br>* <span class=""bold"">Emergency Response:</span>  The caller is in contact with emergency services (SAMU and firefighters) who are en route to the scene.<br><br><br>Let me know if you'd like me to translate any specific parts of the text into French. <Terre>","URGENT<br>erreur demo_sdis01:  Failed to parse a response from gemma2 output: { ""Classification"": ""Traffic accident"" } <br><br>",,
04/04/2025 13:29:43,3.0,,3.0,oui,oui,"['pays de gex au lieu de PJ ', 'codis au lieu de code 10 ou code iss', '']","L'appel d'urgence décrit une situation préoccupante sur un réseau ou plateforme (probablement ""PJ"" selon le contexte). L'utilisateur tente de signaler un problème récurrent (""code-iss"") qui semble être plus fréquent sur ce réseau que sur d'autres. <br><br>Malgré les difficultés de communication, l'utilisateur parvient à transmettre un message urgent (""1.jax pour le code 10"").  L'appel se termine abruptement sans explication claire du problème signalé.<br><br><br><span class=""bold"">Points importants:</span><br><br>* <span class=""bold"">Urgence</span>: Le ""code 10"" suggère une situation d'urgence.<br>* <span class=""bold"">Problème récurrent</span>: L'utilisateur mentionne un problème (""code-iss"") qui est régulier sur le réseau ""PJ"".<br>* <span class=""bold"">Difficultés de communication</span>: La conversation est fragmentée et l'utilisateur semble avoir du mal à se faire John Doe>Il manque des informations cruciales pour comprendre pleinement la situation. <Terre>",Noeuds IA : Non urgent<br>,,
04/04/2025 13:38:21,3.0,4.0,3.0,oui,oui,"['commune buellas// nom de la rue', '']","The text describes an urgent call for medical assistance. Here's a summary:<br><br><span class=""bold"">Summary:</span><br><br>A person called emergency services reporting John Doe off their bicycle and is now unconscious. They believe the person was wearing a helmet, which is now broken. The caller states they are taking the injured person to the hospital themselves as the ambulance service is unavailable. <br><br><br>Let me know if you'd like me to translate this summary into French!  <Terre>",URGENT<br>erreur demo_sdis01:  `tool_calls` missing from AIMessage: {message}<br>,,
04/04/2025 15:00:32,4.0,2.0,2.0,oui,oui,[''],"The text is already in English. Please tell me what you would like me to do with it. For example:<br><br>* <span class=""bold"">Translate it into French:</span> I can translate the entire text into French for you.<br>* <span class=""bold"">Summarize it:</span> I can provide a concise summary of the situation described in the text.<br>* <span class=""bold"">Identify key information:</span> Terre can point out important details, such as the location, the person's condition, and any relevant Terre. <br><br><br>Let me know what you need! <br><br>","URGENT<br>Noeuds IA : CLASSIFICATION, Accident (2)<br>",,
04/04/2025 15:56:21,4.0,4.0,4.0,oui,oui,[''],"L'appel semble provenir d'une personne qui rencontre un problème technique avec un équipement (peut-être un scaphandre ?).  <br><br><span class=""bold"">Résumé:</span><br><br>* L'utilisateur décrit un bruit anormal provenant de l'équipement.<br>* Il mentionne des ""soupapes de décompression"" et suggère que le bruit pourrait être normal si temporaire. <br>* Il recommande à l'utilisateur de surveiller la situation et de rappeler les pompiers si le bruit Terre>Il manque beaucoup d'informations pour comprendre la gravité de la situation.  L'appel est interrompu avant qu'une conclusion ne soit tirée. <Terre>",Noeuds IA : Non urgent<br>,,
04/04/2025 16:02:07,3.0,3.0,4.0,oui,oui,"['manque debut conversation', '']",Un appel d'urgence a été passé pour John Doe. Les pompiers sont sur place et mettent l'appelant en relation avec leurs collègues qui gèrent l'intervention.  <Terre>,Noeuds IA : Non urgent<br>,,
04/04/2025 16:26:30,4.0,4.0,4.0,oui,oui,[''],"Le texte que vous avez fourni est déjà en anglais. Voulez-vous que je le traduise en français ? <br><br>Si oui, voici la traduction :<br><br><span class=""bold"">Utilisateur :</span> Pompiers d'un. Êtes-vous sûr qu'il est courant ?<br><br><span class=""bold"">Utilisateur :</span> Elle a fait plusieurs tonneaux ou elle est sur le côté dans la voiture ? D'accord, une seule personne. Elle est toujours à l'intérieur du véhicule ou non ? Oui, elle est juste dedans.<br><br><span class=""bold"">Utilisateur :</span> Est-elle coincée dans le véhicule ?<br><br><br><span class=""bold"">Utilisateur :</span> M. Rick, HNB, John Doe, Terre sur le côté. Ils ont réussi à ouvrir une porte pour faire sortir la dame, blessée au bras. Je vous dépasse.<br><br><span class=""bold"">Utilisateur :</span> ... <br><br><br><br>N'hésitez pas à me demander si vous avez besoin de quelque chose d'autre !<br><br>","URGENT<br>Noeuds IA : CLASSIFICATION, Accident (2)<br>",,
07/04/2025 11:01:19,,,,,,[''],"The text describes an emergency call where a man of 68 years old fell from a telescope platform and is injured. The caller is on the scene and provides updates on the victim's condition while waiting for paramedics.<br><br>Terres a summary:<br><br>* <span Terre, landing about 4.5 meters below.<br>* <span class=""bold"">Location:</span> The incident occurred on a dirt road accessible by vehicles.<br>* <span class=""bold"">Injuries:</span> The man is conscious but unable to move much initially. He reports pain and can eventually move his legs slightly.<br>* <span class=""bold"">Response:</span> Emergency services (firefighters and paramedics) are called to the scene.<br><br><br>Let me know if you'd like me to translate any specific part of the text into French. <Terre>",URGENT<br>erreur demo_sdis01:  `tool_calls` missing from AIMessage: {message}<br>,,
07/04/2025 12:05:31,4.0,4.0,4.0,oui,oui,[''],"L'appel concerne une fuite d'eau importante dans un appartement de la mairie de Terre. La locataire n'est pas joignable et il semble qu'elle soit absente.  <br><br>Voici les points clés :<Terre>* <span class=""bold"">Fuite d'eau importante:</span> L'inondation a atteint la mairie.<br>* <span class=""bold"">Locataire introuvable:</span> Personne ne répond aux appels ni aux coups à la porte. <br>* <span class=""bold"">Intervention des secours:</span> Les gendarmes sont sur place et un VSV (Véhicule de Secours et d'Assistance) est envoyé pour porter secours à la locataire, qui pourrait avoir besoin d'aide.<br>* <span class=""bold"">Problèmes potentiels:</span> La locataire est bipolaire et sa voiture est en panne, ce qui rend difficile son accès au Terre>L'appel débute par une confusion sur l'adresse exacte de l'appartement, puis se concentre sur la situation de la locataire absente et les efforts pour la joindre. <Terre>","URGENT<br>Noeuds IA : CLASSIFICATION, SAP (1), urgence vitale (1.1)<br>",,
07/04/2025 12:12:21,3.0,3.0,3.0,oui,non,[''],"Un appel d'urgence a été passé pour une dame de 84 ans souffrant d'un mal de tête et de douleurs dans le cou. L'appelant se trouve au deuxième étage d'un immeuble situé au 62, chemin du peuple, Terre d'ombre.  L'opérateur a pris les informations nécessaires et a contacté ses collègues pour une intervention médicale. <Terre>","URGENT<br>Noeuds IA : CLASSIFICATION, SAP (1), urgence vitale (1.1)<br>",,
07/04/2025 15:16:16,3.0,4.0,3.0,oui,oui,"['moto', '']","Un appel d'urgence rapporte un accident de voiture dans la zone de covoiturage à Terre, près de la route du Terre. Deux femmes, une d'environ 25 ans et l'autre dans la trentaine, sont impliquées. Le conducteur portait un casque et il n'y a pas de blessures graves. Les pompiers sont en route vers le lieu de l'accident.  <Terre>","URGENT<br>Noeuds IA : CLASSIFICATION, Accident (2)<br>",,
07/04/2025 16:10:35,4.0,,,,,[''],"The text you provided is already in French! It's a dialogue between someone calling emergency services and an operator, reporting a Terre. <Terre>Would you like me to:<br><br>* <span class=""bold"">Translate it into another language?</span> (Please specify the target language)<br>* <span class=""bold"">Summarize the situation described in the call?</span><br><br><br>Let me know what you need!  <Terre>","URGENT<br>Noeuds IA : CLASSIFICATION, SAP (1), urgence vitale (1.1)<br>",,
07/04/2025 17:21:23,3.0,3.0,3.0,oui,non,[''],"L'appel est un appel d'urgence pour une personne qui ne peut plus rien faire. L'utilisateur appelle le centre d'Terre et demande l'aide du SAMU. Il semble qu'une ambulance soit nécessaire.  <br><br><br>Il y a des mentions de ""mes collègues du SAMU"", ""envoyer une ambulance"" et ""Ne raccrochez pas"". <Terre>","URGENT<br>Noeuds IA : CLASSIFICATION, SAP (1), urgence vitale (1.1)<br>",,
08/04/2025 08:58:46,4.0,4.0,3.0,oui,oui,"['commune du sinistre', '']","Un appel d'urgence a été passé aux pompiers concernant Terre, un homme tombé de son vélo et se trouvant probablement blessé. Il souffre d'une fracture d'omoplate. Un témoin est en contact avec les services d'urgence et reste auprès d'Terre jusqu'à leur arrivée. <Terre>",URGENT<br>erreur demo_sdis01:  `tool_calls` missing from AIMessage: {message}<br>,,
08/04/2025 09:19:47,4.0,4.0,4.0,oui,oui,[''],"Un employé nommé John Doe s'est blessé au travail en ayant son bras coincé dans une machine. Il est conscient et semble ne pas avoir de blessures graves. L'appelant contacte les secours et le SAMU pour envoyer une équipe sur place.  L'emplacement précis de l'incident n'est pas mentionné, mais il est indiqué que des informations supplémentaires sont disponibles sur YouMem. <Terre>","URGENT<br>Noeuds IA : CLASSIFICATION, SAP (1), urgence vitale (1.1)<br>",,
08/04/2025 09:28:32,3.0,4.0,4.0,oui,oui,[''],"The text is already in English. It seems like a transcript of an emergency call to the fire department. <Terre>Terres a summary:<br><br>Someone is calling the fire department reporting an accident. A woman is injured and experiencing pain in her knees due to her vehicle accident. She is conscious and located on the first floor of a building on ""rue"" (street).  The caller will provide more details about the situation. <br><br><br>Let me know if you'd like me to translate this summary into French or anything else! <br><br>","URGENT<br>Noeuds IA : CLASSIFICATION, SAP (1), urgence non vitale (1.2)<br>",,
08/04/2025 12:54:12,3.0,3.0,3.0,oui,oui,[''],"John Doe appelle les secours depuis le 27 rue du John Doe à Terre. Des jeunes ont lancé des pétards dans la cour de la basilique, provoquant un incendie sur des matelas présents. L'incendie se trouve devant son domicile. <br><br><br><span class=""bold"">Résumé succinct:</span> Incendie de matelas déclenché par des pétards, rue du John Doe à Terre.  <Terre>","URGENT<br>Noeuds IA : CLASSIFICATION, Feu (3), interieur (3.1)<br>",,
08/04/2025 13:22:08,3.0,3.0,1.0,oui,oui,[''],"L'utilisateur appelle à l'aide car il a entendu une explosion près de chez lui. Un petit incendie s'est déclaré en dessous de son logement, probablement causé par l'explosion de frises électriques. L'utilisateur est inquiet et ne sait pas exactement ce qui brûle. <br><br><br><span class=""bold"">Résumé:</span> Explosion suivie d'un incendie probable à cause de frises électriques sous le domicile de l'utilisateur.  <Terre>","URGENT<br>Noeuds IA : CLASSIFICATION, Feu (3), interieur (3.1)<br>",,
08/04/2025 15:34:20,3.0,4.0,3.0,oui,oui,[''],Un appel d'urgence a été reçu pour un homme de 86 ans tombé et blessé devant les Finances Publiques à Terre. L'homme saigne du visage et se trouve seul sur place.  <Terre>L'appelant a assis l'homme et lui a demandé s'il avait mal quelque part. Les pompiers sont en route et le SAMU sera contacté. <Terre>,"URGENT<br>Noeuds IA : CLASSIFICATION, SAP (1), urgence vitale (1.1)<br>",,
08/04/2025 17:15:24,3.0,3.0,3.0,oui,oui,[''],"John Doe appelle les secours pour son cousin, monsieur John Doe, âgé d'environ soixante-cinq ans, qui habite au cinquième étage de l'appartement situé Terre au bout, John Doe à Terre.  <Terre>Elle explique qu'il est parti en colère hier matin et qu'elle ne peut plus le joindre. Elle se trouve devant son domicile, près de la caserne des pompiers. <br><br>John Doe rapporte également entendre ""des cris et piles et pips"" provenant de l'appartement. Les secours sont envoyés sur place et John Doe est mise en relation avec le SAMU.  <Terre>","URGENT<br>Noeuds IA : CLASSIFICATION, SAP (1), urgence non vitale (1.2)<br>",,
09/04/2025 13:22:10,5.0,5.0,5.0,,,[''],L'utilisateur appelle à l'aide car il y a un incendie dans son domicile et demande aux secours de venir immédiatement. ,"URGENTFeu (3), interieur (3.1)",,
09/04/2025 14:33:56,,,,,,[''],L'utilisateur appelle à l'aide car il y a un incendie dans son domicile.  ,"URGENTFeu (3), interieur (3.1)",,
09/04/2025 14:35:33,,,,,,[''],Un utilisateur appelle les pompiers pour signaler un incendie dans son immeuble. Il affirme avoir réussi à sortir de l'immeuble et demande aux secours de venir rapidement.  ,"URGENTFeu (3), interieur (3.1)",,
10/04/2025 11:43:04,,,,,,[''],Il semble qu'il y ait une erreur dans la transmission du texte. Je n'ai reçu aucune information à traduire en français. Veuillez réessayer d'envoyer le texte. ,Non urgent,,
10/04/2025 12:36:46,3.0,4.0,1.0,oui,non,[''],"Un appel urgent a été passé à la gendarmerie nationale. Un individu bipolaire, hospitalisé pour des raisons de sécurité, est rentré chez lui (une ferme) et se comporte de manière erratique en courant autour de la propriété. La personne qui appelle demande l'intervention des gendarmes de John Doe avant toute action. Elle précise que les gendarmes sont déjà en route vers le lieu du problème. ",URGENTerreur demo_sdis01:  `tool_calls` missing from AIMessage: {message},,
10/04/2025 13:15:43,3.0,4.0,3.0,oui,non,[''],"Un appel d'urgence a été passé aux pompiers par une personne se trouvant à Terre. L'appelant décrit des blessures avec du sang coagulé et des filaments blancs, qu'il ne peut pas enlever. Il demande l'intervention du SAMU pour obtenir un avis médical. ","URGENTSAP (1), urgence vitale (1.1)",,
11/04/2025 16:56:00,5.0,4.0,4.0,oui,oui,[''],,,,A
15/04/2025 13:16:29,1.0,1.0,1.0,non,,[''],"L'utilisateur semble décrire un projet qu'il a initié et qui implique la création d'un véhicule. Il affirme que ce projet est important (""ça fait de grandes choses"") et qu'il voit des véhicules (""J'en vois un véhicule"", ""J'en vois Terre"").  Il termine en demandant de l'aide (""Ici, pour t'en appeler""). L'appel semble être confus et difficile à comprendre. Il est possible que l'utilisateur soit sous l'influence d'un état mental altéré ou qu'il ait des difficultés à s'exprimer clairement.  ",Non urgent,"Feu (3), Extérieur (3.2), Végétation (3.2.3)",D
15/04/2025 13:29:16,1.0,1.0,1.0,non,,[''],"L'appel d'urgence semble être interrompu et incomplet. L'utilisateur mentionne brièvement ""des égouts"" avant que la conversation ne devienne confuse et sans rapport avec une situation d'urgence. Il est impossible de déterminer la nature exacte de l'appel à partir des fragments disponibles. Il est important de noter que ce résumé est basé sur des informations incomplètes et potentiellement erronées.  ",Non urgent,,D
15/04/2025 13:35:44,1.0,1.0,1.0,non,,[''],"Un appel d'urgence a été passé à un service d'incendie. L'appelant indique qu'il y a un incendie dans un immeuble et que l'eau est le proviseur (probablement une expression maladroite pour dire ""le responsable"").  L'opérateur tente de déterminer la situation en demandant le nombre d'étages du bâtiment et si l'appelant a besoin d'aide. L'appelant semble confus et répète plusieurs fois le nombre d'étages. Finalement, l'opérateur confirme que des pompiers sont envoyés sur place et raccroche. ","URGENTFeu (3), interieur (3.1)",,D
15/04/2025 13:57:26,1.0,1.0,1.0,oui,non,[''],"Un appel urgent est passé aux services de secours pour John Doe, une femme de 83 ans résidant à l'Terre. L'appelant a aperçu quelque chose d'inquiétant et souhaite que des secours soient envoyés immédiatement. Il demande également si un médecin doit être consulté en fonction de la situation.  L'opérateur confirme l'envoi d'une ambulance et insiste pour rester au téléphone jusqu'à ce qu'elle arrive. ","URGENTSAP (1), urgence vitale (1.1)",Non urgent (0),D
15/04/2025 14:17:48,1.0,1.0,1.0,oui,oui,[''],"L'utilisateur exprime son disguste envers quelque chose qu'il appelle ""les encolies"". Il ne donne aucune autre information sur ce qu'il est ou pourquoi il est dégoûtant.  Il semble s'agir d'un appel d'urgence, mais le contenu manque de détails pour comprendre la situation. ",Non urgent,,D
15/04/2025 15:21:38,,,,,,[''],"Un appel d'urgence a été passé pour une femme disparue à Terre (Terre, département 50). L'appelant n'a plus de nouvelles de sa femme depuis trois heures et demande aux autorités de la retrouver. Le numéro de téléphone de la femme est le 07 51 305 72 90.  ",URGENTNon métier,,D
15/04/2025 17:03:21,1.0,1.0,1.0,non,,[''],"L'appel décrit une situation d'urgence impliquant plusieurs personnes, dont une femme qui semble être en danger (""elle est au point de rien"", ""en plus de la mangeant""). Il y a mention d'une personne ""alcoolisée"" et d'une autre personne importante qui n'a pas été contactée. L'appelant se trouve dans une cour de récréation et semble confus quant à la nature exacte de la situation. Il manque beaucoup d'informations pour comprendre pleinement l'urgence, mais il est clair que la situation est préoccupante.  ",Non urgent,"SAP (1), Vital (1.1)",D
23/04/2025 09:00:00,1.0,1.0,1.0,non,,"['pt kilometrique', '']","L'appel décrit une situation d'urgence impliquant un accident à environ 60 km.  Un utilisateur demande le code danger et mentionne que le conducteur d'un John Doe a aidé les personnes impliquées à sortir des véhicules. La communication est fragmentée, il manque des informations cruciales sur le nombre de victimes, la gravité des blessures et la nature de l'accident. ",Non urgent,"Accident (2), Routier (2.1), Auto-route (2.1.3)",A
